KEYWORD,IMAGE
astronaut, astronaut.jpg
snow, finland.jpg
rocket, rocket.jpg
shark, shark.jpg
shuttle, spaceshuttle.jpg
dino, dino.jpg
bird, bird.jpg
man, astronaut.jpg
monkey, monkey.png
car, car.jpg
cat, bowie.png
dog, dog.jpg
dino, dino.jpg
t-rex, dino.jpg
plane, plane.jpg
jet, plane.jpg
pilot, pilot.jpg
red, red_arrows.jpg
bat, fruitbat.jpg
hat, hat.jpg
rat, rat.jpg
fly, fly.jpg
eagle, fly.jpg
fish, fish.jpgflag, flag.jpgfire, fire.jpgfireman, fireman.jpgfriends, friends.jpgbeetle, beetle.jpgbus, bus.jpgbook, book.jpgboat, boat.jpgblack, black.jpgblue, blue.pngblossom, blossom.jpgbaboon, baboon.jpgsleeping, sleeping.jpgpotato, potato.png
